,Անուն ազգանուն կամ կազմակերպություն,Ջրօգտագործման թույլտվության տեսակ,Ջրօգտագործման թույլտվության գործողության սկիզբ,Ջրօգտագործման թույլտվության գործողության վերջ,Ջրավազան,Ջրային ռեսուրսի անվանում,Ջրային ռեսուրսի տիպ,"Ջրառի վայր (մարզ, համայնք, բնակավայր)","Ջրօգտագործման վայր (մարզ, համայնք, բնակավայր)",Ջրօգտագործման նպատակ,Ջրառի ծավալ(հազ մ3/ տարի),Ջրային ռեսուրսի անվանում,Ջրահեռացման ծավալ(հազ մ3/ տարի),Ջրահեռացման ծավալ(լ/վրկ),Թույլտվության ժամկետ (տարով),Ջրառի տարեկան ծավալ (հազ մ3/տար)
413,Յու Էմ Ագրո(ՍՊԸ),Նոր,2024-03-05,2027-02-05,Ախուրյան,4 բնական աղբյուր,Ստորերկրյա,Արմավիր Բաղրամյան գ. Երվանդաշատ,Տվյալ չկա,ոռոգում,816.48,Տվյալ չկա,22.976,45.0,2.92,279.62
414,«Սթոուն Լենդ»(ՍՊԸ),Նոր,2024-03-11,2027-03-11,Հրազդան,1 գործող խ․հ․,Ստորերկրյա,Կոտայք Աբովյան գ. Մայակովսկի,Կոտայք Աբովյան գ. Մայակովսկի,Արդյունաբերական,12.989,ջրանթափանց հոր-կոյուղու կոլեկտոր,65.322,7.56,3.0,4.33
415,Կառլոս Ստեփանյան,Նոր,2024-03-07,2027-03-07,Ախուրյան,1 գործող գրունտային հոր,Ստորերկրյա,Շիրակ Ախուրյան գ. Ղարիբջանյան,Շիրակ Ախուրյան գ. Ղարիբջանյան,Ձկնաբուծական,946.08,Ախուրյան գետ,851.473,27.0,3.0,315.36
416,«Բաղրամյան»(ՍՊԸ),Երկարաձգված,2024-03-07,2027-03-07,Ախուրյան,1 գործող խ․հ․,Ստորերկրյա,Արմավիր Բաղրամյան գ. Լեռնագոգ,Արմավիր Բաղրամյան գ. Լեռնագոգ,Արդյունաբերական,81.993,կոյուղու կոլեկտոր,71.368,2.26,3.0,27.33
417,«Ա.Ա.Բ. Պրոեկտ»(ՍՊԸ),Նոր,2024-03-13,2027-03-13,Հյուսիսային,Փամբակ գետ,Մակերևութային,Լոռի Վանաձոր ք. Վանաձոր,Լոռի Վանաձոր ք. Վանաձոր,Արդյունաբերական,24.688,ջրանթափանց հոր այնուհետև կոյուղու կոլեկտոր,0.136,0.0182,3.0,8.23
418,«Արաքս թռչնաֆաբրիկա»(ՓԲԸ),Նոր,2024-03-12,2027-03-12,Ախուրյան,2 գործող խ․հ․,Ստորերկրյա,Արմավիր Արաքս գ. Ջրառատ; Արմավիր Արաքս գ. Ջրառատ,Արմավիր Արաքս գ. Ջրառատ,Արդյունաբերական,511.06,դրենաժային համակարգ այնուհետև Սևջուր գետ,75.02,2.4,3.0,170.35
419,«Գազպրոմ Արմենիա»(ՓԲԸ) «Տրանսգազ»ՍՊԸ Աբովյանի գազի ստորգետնյա պահեստ կայան,Նոր,2024-03-12,2027-03-12,Հրազդան,Քանաքեռ ՀԷԿ-ի դերիվացիոն ջրանցք,Ջրային Համակարգ,Կոտայք Աբովյան գ. Պտղնի,Կոտայք Աբովյան գ. Պտղնի,Արդյունաբերական,242.0,կոյուղու կոլեկտոր,229.9,8.87,3.0,80.67
420,Էս Քոմփանի(ՍՊԸ),Նոր,2024-03-13,2027-03-13,Սևան,1 գործող խ․հ․,Ստորերկրյա,Գեղարքունիք Սևան ք. Սևան,Գեղարքունիք Սևան ք. Սևան,Արդյունաբերական,47.269,ջրանթափանց հոր-կոյուղու կոլեկտոր,33.2,1.05,3.0,15.76
421,Էս Քոմփանի(ՍՊԸ),Նոր,2024-03-13,2027-03-13,Սևան,1 գործող խ․հ․,Ստորերկրյա,Գեղարքունիք Սևան ք. Սևան,Տվյալ չկա,ոռոգում,1.32,Տվյալ չկա,22.976,45.0,3.0,0.44
422,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Արմավիրի մարզի Մեծամոր համայնքի Արմավիր գյուղ,Նոր,2024-03-15,2027-03-15,Ախուրյան,1 գործող խ․հ․,Ստորերկրյա,Արմավիր Մեծամոր գ. Արմավիր,Արմավիր Մեծամոր գ. Արմավիր,ոռոգում,167.9,Տվյալ չկա,22.976,45.0,3.0,55.97
423,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Մեծամոր համայնքի Եղեգնուտ գյուղ,Նոր,2024-03-15,2027-03-15,Ախուրյան,դրենաժային համակարգից՝ Մանվել /Լյութո/ ջրհան կայանով,Մակերևութային,Արմավիր Մեծամոր գ. Եղեգնուտ,Արմավիր Մեծամոր գ. Եղեգնուտ,ոռոգում,36.262,Տվյալ չկա,22.976,45.0,3.0,12.09
424,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Մեծամոր համայնքի Եղեգնուտ գյուղ,Նոր,2024-03-15,2027-03-15,Ախուրյան,դրենաժային համակարգից՝ Ակադեմիա ջրհան կայանով,Մակերևութային,Արմավիր Մեծամոր գ. Եղեգնուտ,Տվյալ չկա,ոռոգում,38.158,Տվյալ չկա,22.976,45.0,3.0,12.72
425,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Մեծամոր համայնքի Երասխահուն գյուղ,Նոր,2024-03-15,2027-03-15,Ախուրյան,դրենաժային համակարգից՝ ոռոգման ջրանցք N1 ջրհան կայանով,Մակերևութային,Արմավիր Մեծամոր գ. Երասխահուն,Արմավիր Մեծամոր գ. Երասխահուն,ոռոգում,65.291,Տվյալ չկա,22.976,45.0,3.0,21.76
426,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Մեծամոր համայնքի Տանձուտ գյուղ,Նոր,2024-03-15,2027-03-15,Ախուրյան,դրենաժային համակարգից՝ Տանձուտի ջրհան կայանով,Մակերևութային,Արմավիր Մեծամոր գ. Տանձուտ,Արմավիր Մեծամոր գ. Տանձուտ,ոռոգում,111.929,Տվյալ չկա,22.976,45.0,3.0,37.31
427,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Մեծամոր համայնքի Զարթոնք գյուղ,Նոր,2024-03-15,2027-03-15,Ախուրյան,դրենաժային համակարգից՝ Ռոբոյի ջրհան կայանով,Մակերևութային,Արմավիր Մեծամոր գ. Եղեգնուտ,Արմավիր Մեծամոր գ. Զարթոնք,ոռոգում,170.5,Տվյալ չկա,22.976,45.0,3.0,56.83
428,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Մեծամոր համայնքի Վարդանաշեն գյուղ,Նոր,2024-03-15,2027-03-15,Ախուրյան,Դրենաժ՝ Փաշիկի ջ/կ-ով,Մակերևութային,Արմավիր Մեծամոր գ. Վարդանաշեն,Տվյալ չկա,ոռոգում,2.864,Տվյալ չկա,22.976,45.0,3.0,0.95
429,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Մեծամոր համայնքի Վարդանաշեն գյուղ,Նոր,2024-03-15,2027-03-15,Ախուրյան,Դրենաժ՝ Դեղձերի ջ/կ-ով,Մակերևութային,Արմավիր Մեծամոր գ. Վարդանաշեն,Արմավիր Մեծամոր գ. Վարդանաշեն,ոռոգում,119.04,Տվյալ չկա,22.976,45.0,3.0,39.68
430,«Արթ Միր»(ՍՊԸ),Նոր,2024-03-15,2027-03-15,Սևան,1 գործող խ․հ․,Ստորերկրյա,Գեղարքունիք Սևան գ. Ծովագյուղ,Տվյալ չկա,ոռոգում,18.0,Տվյալ չկա,22.976,45.0,3.0,6.0
431,«Արթ Միր»(ՍՊԸ),Նոր,2024-03-15,2027-03-15,Սևան,1 գործող խ․հ․,Ստորերկրյա,Գեղարքունիք Սևան գ. Ծովագյուղ,Գեղարքունիք Սևան գ. Ծովագյուղ,ոռոգում,14.4,Տվյալ չկա,22.976,45.0,3.0,4.8
432,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Մեծամոր համայնքի Արտաշար գյուղ,Նոր,2024-03-15,2027-03-15,Ախուրյան,դրենաժ՝ Արտաշարի ջ/կ-ով,Մակերևութային,Արմավիր Մեծամոր գ. Արտաշար,Արմավիր Մեծամոր գ. Զարթոնք,ոռոգում,2368.425,Տվյալ չկա,22.976,45.0,3.0,789.48
433,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Մեծամոր համայնքի Մեծամոր քաղաք,Երկարաձգված,2024-03-15,2027-03-15,Ախուրյան,2 գործող խ․հ․,Ստորերկրյա,Արմավիր Մեծամոր ք. Մեծամոր,Արմավիր Մեծամոր ք. Մեծամոր,ոռոգում,23.143,Տվյալ չկա,22.976,45.0,3.0,7.71
434,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Մեծամոր համայնքի Մեծամոր քաղաք,Երկարաձգված,2024-03-15,2027-03-15,Ախուրյան,2 գործող խ․հ․,Ստորերկրյա,Արմավիր Մեծամոր ք. Մեծամոր,Տվյալ չկա,ոռոգում,32.071,Տվյալ չկա,22.976,45.0,3.0,10.69
435,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Մեծամոր համայնքի Մարգարա գյուղ,Երկարաձգված,2024-03-15,2027-03-15,Ախուրյան,2 գործող խ․հ․,Ստորերկրյա,Արմավիր Մեծամոր գ. Մարգարա,Արմավիր Մեծամոր գ. Մարգարա,ոռոգում,109.85,Տվյալ չկա,22.976,45.0,3.0,36.62
436,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Մեծամոր համայնքի Մարգարա գյուղ,Երկարաձգված,2024-03-15,2027-03-15,Ախուրյան,2 գործող խ․հ․,Ստորերկրյա,Արմավիր Մեծամոր գ. Մարգարա,Տվյալ չկա,ոռոգում,102.607,Տվյալ չկա,22.976,45.0,3.0,34.2
437,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Մեծամոր համայնքի Նոր Արմավիր գյուղ,Երկարաձգված,2024-03-15,2027-03-15,Ախուրյան,2 գործող խ․հ․,Ստորերկրյա,Արմավիր Մեծամոր գ. Նալբանդյան,Տվյալ չկա,ոռոգում,44.702,Տվյալ չկա,22.976,45.0,3.0,14.9
438,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Մեծամոր համայնքի Նոր Արմավիր գյուղ,Երկարաձգված,2024-03-15,2027-03-15,Ախուրյան,2 գործող խ․հ․,Ստորերկրյա,Արմավիր Մեծամոր գ. Նոր Արմավիր,"""Արմավիր Մեծամոր գ. Նալբանդյան","Արմավիր Մեծամոր գ. Նոր Արմավիր""",25.92,4.4,22.976,45.0,3.0,8.64
439,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Մեծամոր համայնքի Փշատավան գյուղ,Երկարաձգված,2024-03-15,2027-03-15,Ախուրյան,5 գործող խ․հ․,Ստորերկրյա,Արմավիր Մեծամոր գ. Փշատավան,Տվյալ չկա,ոռոգում,298.029,Տվյալ չկա,22.976,45.0,3.0,99.34
440,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Մեծամոր համայնքի Փշատավան գյուղ,Երկարաձգված,2024-03-15,2027-03-15,Ախուրյան,5 գործող խ․հ․,Ստորերկրյա,Արմավիր Մեծամոր գ. Փշատավան,Տվյալ չկա,ոռոգում,69.429,Տվյալ չկա,22.976,45.0,3.0,23.14
441,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Մեծամոր համայնքի Փշատավան գյուղ,Երկարաձգված,2024-03-15,2027-03-15,Ախուրյան,5 գործող խ․հ․,Ստորերկրյա,Արմավիր Մեծամոր գ. Փշատավան,Տվյալ չկա,ոռոգում,91.521,Տվյալ չկա,22.976,45.0,3.0,30.51
442,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Մեծամոր համայնքի Փշատավան գյուղ,Երկարաձգված,2024-03-15,2027-03-15,Ախուրյան,5 գործող խ․հ․,Ստորերկրյա,Արմավիր Մեծամոր գ. Փշատավան,Տվյալ չկա,ոռոգում,147.4,Տվյալ չկա,22.976,45.0,3.0,49.13
443,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Մեծամոր համայնքի Փշատավան գյուղ,Երկարաձգված,2024-03-15,2027-03-15,Ախուրյան,5 գործող խ․հ․,Ստորերկրյա,Արմավիր Մեծամոր գ. Փշատավան,Արմավիր Մեծամոր գ. Փշատավան,ոռոգում,83.086,Տվյալ չկա,22.976,45.0,3.0,27.7
444,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Մեծամոր համայնքի Արևիկ գյուղ,Երկարաձգված,2024-03-15,2027-02-15,Ախուրյան,4 գործող խ․հ․,Ստորերկրյա,Արմավիր Մեծամոր գ. Արևիկ,Տվյալ չկա,ոռոգում,67.6,Տվյալ չկա,22.976,45.0,2.92,23.15
445,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Մեծամոր համայնքի Արևիկ գյուղ,Երկարաձգված,2024-03-15,2027-02-15,Ախուրյան,4 գործող խ․հ․,Ստորերկրյա,Արմավիր Մեծամոր գ. Արևիկ,Տվյալ չկա,ոռոգում,56.736,Տվյալ չկա,22.976,45.0,2.92,19.43
446,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Մեծամոր համայնքի Արևիկ գյուղ,Երկարաձգված,2024-03-15,2027-02-15,Ախուրյան,4 գործող խ․հ․,Ստորերկրյա,Արմավիր Մեծամոր գ. Արևիկ,Արմավիր Մեծամոր գ. Արևիկ,ոռոգում,323.514,Տվյալ չկա,22.976,45.0,2.92,110.79
447,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Մեծամոր համայնքի Արևիկ գյուղ,Երկարաձգված,2024-03-15,2027-02-15,Ախուրյան,4 գործող խ․հ․,Ստորերկրյա,Արմավիր Մեծամոր գ. Արևիկ,Տվյալ չկա,ոռոգում,491.307,Տվյալ չկա,22.976,45.0,2.92,168.26
448,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Արմավիր համայնքի Այգեվան գյուղ,Երկարաձգված,2024-03-15,2027-03-15,Ախուրյան,6 գործող խ․հ․,Ստորերկրյա,Արմավիր Արմավիր գ. Այգեվան,Տվյալ չկա,ոռոգում,71.383,Տվյալ չկա,22.976,45.0,3.0,23.79
449,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Արմավիր համայնքի Այգեվան գյուղ,Երկարաձգված,2024-03-15,2027-03-15,Ախուրյան,6 գործող խ․հ․,Ստորերկրյա,Արմավիր Արմավիր գ. Այգեվան,Տվյալ չկա,ոռոգում,265.846,Տվյալ չկա,22.976,45.0,3.0,88.62
450,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Արմավիր համայնքի Այգեվան գյուղ,Երկարաձգված,2024-03-15,2027-03-15,Ախուրյան,6 գործող խ․հ․,Ստորերկրյա,Արմավիր Արմավիր գ. Այգեվան,Տվյալ չկա,ոռոգում,170.0,Տվյալ չկա,22.976,45.0,3.0,56.67
451,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Արմավիր համայնքի Այգեվան գյուղ,Երկարաձգված,2024-03-15,2027-03-15,Ախուրյան,6 գործող խ․հ․,Ստորերկրյա,Արմավիր Արմավիր գ. Այգեվան,Տվյալ չկա,ոռոգում,284.0,Տվյալ չկա,22.976,45.0,3.0,94.67
452,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Արմավիր համայնքի Այգեվան գյուղ,Երկարաձգված,2024-03-15,2027-03-15,Ախուրյան,6 գործող խ․հ․,Ստորերկրյա,Արմավիր Արմավիր գ. Այգեվան,Արմավիր Արմավիր գ. Այգեվան,ոռոգում,135.0,Տվյալ չկա,22.976,45.0,3.0,45.0
453,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Արմավիր համայնքի Այգեվան գյուղ,Երկարաձգված,2024-03-15,2027-03-15,Ախուրյան,6 գործող խ․հ․,Ստորերկրյա,Արմավիր Արմավիր գ. Այգեվան,Տվյալ չկա,ոռոգում,310.0,Տվյալ չկա,22.976,45.0,3.0,103.33
454,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Մեծամոր համայնքի Մրգաշատ գյուղ,Երկարաձգված,2024-03-15,2027-03-15,Ախուրյան,12 գործող խ․հ․,Ստորերկրյա,Արմավիր Մեծամոր գ. Նորապատ,Տվյալ չկա,ոռոգում,491.21,Տվյալ չկա,22.976,45.0,3.0,163.74
455,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Մեծամոր համայնքի Մրգաշատ գյուղ,Երկարաձգված,2024-03-15,2027-03-15,Ախուրյան,12 գործող խ․հ․,Ստորերկրյա,Արմավիր Մեծամոր գ. Մրգաշատ,Արմավիր Մեծամոր գ. Մրգաշատ,ոռոգում,567.792,Տվյալ չկա,22.976,45.0,3.0,189.26
456,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Մեծամոր համայնքի Մրգաշատ գյուղ,Երկարաձգված,2024-03-15,2027-03-15,Ախուրյան,12 գործող խ․հ․,Ստորերկրյա,Արմավիր Մեծամոր գ. Մրգաշատ,Տվյալ չկա,ոռոգում,207.0,Տվյալ չկա,22.976,45.0,3.0,69.0
457,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Մեծամոր համայնքի Մրգաշատ գյուղ,Երկարաձգված,2024-03-15,2027-03-15,Ախուրյան,12 գործող խ․հ․,Ստորերկրյա,Արմավիր Մեծամոր գ. Մրգաշատ,Տվյալ չկա,ոռոգում,91.35,Տվյալ չկա,22.976,45.0,3.0,30.45
458,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Մեծամոր համայնքի Մրգաշատ գյուղ,Երկարաձգված,2024-03-15,2027-03-15,Ախուրյան,12 գործող խ․հ․,Ստորերկրյա,Արմավիր Մեծամոր գ. Նորապատ,Տվյալ չկա,ոռոգում,723.1,Տվյալ չկա,22.976,45.0,3.0,241.03
459,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Մեծամոր համայնքի Մրգաշատ գյուղ,Երկարաձգված,2024-03-15,2027-03-15,Ախուրյան,12 գործող խ․հ․,Ստորերկրյա,Արմավիր Մեծամոր գ. Մրգաշատ,Տվյալ չկա,ոռոգում,121.333,Տվյալ չկա,22.976,45.0,3.0,40.44
460,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Մեծամոր համայնքի Մրգաշատ գյուղ,Երկարաձգված,2024-03-15,2027-03-15,Ախուրյան,12 գործող խ․հ․,Ստորերկրյա,Արմավիր Մեծամոր գ. Նորապատ,Տվյալ չկա,ոռոգում,251.0,Տվյալ չկա,22.976,45.0,3.0,83.67
461,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Մեծամոր համայնքի Մրգաշատ գյուղ,Երկարաձգված,2024-03-15,2027-03-15,Ախուրյան,12 գործող խ․հ․,Ստորերկրյա,Արմավիր Մեծամոր գ. Նորապատ,Տվյալ չկա,ոռոգում,328.163,Տվյալ չկա,22.976,45.0,3.0,109.39
462,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Մեծամոր համայնքի Մրգաշատ գյուղ,Երկարաձգված,2024-03-15,2027-03-15,Ախուրյան,12 գործող խ․հ․,Ստորերկրյա,Արմավիր Մեծամոր գ. Նորապատ,Տվյալ չկա,ոռոգում,621.0,Տվյալ չկա,22.976,45.0,3.0,207.0
463,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Մեծամոր համայնքի Մրգաշատ գյուղ,Երկարաձգված,2024-03-15,2027-03-15,Ախուրյան,12 գործող խ․հ․,Ստորերկրյա,Արմավիր Մեծամոր գ. Նորապատ,Տվյալ չկա,ոռոգում,432.75,Տվյալ չկա,22.976,45.0,3.0,144.25
464,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Մեծամոր համայնքի Մրգաշատ գյուղ,Երկարաձգված,2024-03-15,2027-03-15,Ախուրյան,12 գործող խ․հ․,Ստորերկրյա,Արմավիր Մեծամոր գ. Մրգաշատ,Տվյալ չկա,ոռոգում,27.876,Տվյալ չկա,22.976,45.0,3.0,9.29
465,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Մեծամոր համայնքի Մրգաշատ գյուղ,Երկարաձգված,2024-03-15,2027-03-15,Ախուրյան,12 գործող խ․հ․,Ստորերկրյա,Արմավիր Մեծամոր գ. Մրգաշատ,Տվյալ չկա,ոռոգում,418.0,Տվյալ չկա,22.976,45.0,3.0,139.33
466,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Արմավիր համայնքի Լենուղի գյուղ,Երկարաձգված,2024-03-15,2027-03-15,Ախուրյան,2 գործող խ․հ․,Ստորերկրյա,Արմավիր Արմավիր գ. Լենուղի,Արմավիր Արմավիր գ. Լենուղի,ոռոգում,39.385,Տվյալ չկա,22.976,45.0,3.0,13.13
467,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Արմավիր համայնքի Լենուղի գյուղ,Երկարաձգված,2024-03-15,2027-03-15,Ախուրյան,2 գործող խ․հ․,Ստորերկրյա,Արմավիր Արմավիր գ. Լենուղի,Տվյալ չկա,ոռոգում,137.0,Տվյալ չկա,22.976,45.0,3.0,45.67
